archivo,nombre_carol,sku_dermaland,nombre_dermaland,similitud
"sesderma-hidraderm-hyal-serum-facial-30-ml-88305.webp","SESDERMA HIDRADERM HYAL SERUM FACIAL 30 ML","DERM-I01082","Sesderma Acglicolic Facial Serum 30 ML","0.57"
"uriage-bariederm-100-ml-cica-creme-reparadora-23345.webp","URIAGE BARIEDERM 100 ML CICA-CREME REPARADORA","DERM-I01242","Uriage Bariederm Cica Spray 100 ML","0.57"
"uriage-bariederm-100-ml-cica-creme-reparadora-23345.webp","URIAGE BARIEDERM 100 ML CICA-CREME REPARADORA","DERM-I01246","Uriage Bariederm-cica Crema 100 ML","0.57"
"uriage-d-s-hair-lotion-sp-100-ml-86614.webp","URIAGE D.S. HAIR LOTION SP 100 ML","DERM-I01269","Uriage DS Hair Lotion 100 ML","0.57"
"uriage-xemose-syndet-nettoyant-doux-gel-200-ml-23373.webp","URIAGE XEMOSE SYNDET NETTOYANT DOUX GEL 200 ML","DERM-I01299","Uriage Xemose Syndet 200ML","0.57"
"vichy-mineral-89-hydrate-repulpe-fortifie-30-ml-108941.webp","VICHY MINERAL 89 HYDRATE REPULPE FORTIFIE 30 ML","DERM-I01324","Vichy Mineral 89 - 30 ML","0.57"
"a-derma-epitheliale-ha-ultra-reapair-40-ml-86603.webp","A-DERMA EPITHELIALE HA ULTRA REAPAIR 40 ML","DERM-I00063","A-derma Epitheliale A.H Ultra Reparador 40 ML","0.56"
"a-derma-exomega-control-crema-emollient-400-ml-21529.webp","A-DERMA EXOMEGA CONTROL CREMA EMOLLIENT 400 ML","DERM-I00066","A-derma Exomega Control Crema Emoliente 200 ML","0.56"
"a-derma-exomega-control-leche-emoliente-400-ml-105521.webp","A-DERMA EXOMEGA CONTROL LECHE EMOLIENTE 400 ML","DERM-I00070","A-derma Exomega Control Emoliente Spray 200 ML","0.56"
"acm-duolys-riche-hidratante-anti-edad-40-ml-crema-116436.webp","ACM DUOLYS RICHE HIDRATANTE ANTI-EDAD 40 ML CREMA","DERM-I00036","ACM Duolys Riche Anti-envejecimiento 40 ML","0.56"
"avene-a-oxitive-aqua-antioxidante-30-ml-crema-23379.webp","AVENE A-OXITIVE AQUA ANTIOXIDANTE 30 ML CREMA","DERM-I00115","Avene A-oxitive Serum Defensa Antioxidante 30ML","0.56"
"avene-dermabsolu-contorno-de-ojos-15-ml-crema-116816.webp","AVENE DERMABSOLU CONTORNO DE OJOS 15 ML CREMA","DERM-I00029","ACM Duolys Contorno DE Ojos Crema 15 ML","0.56"
"bioderma-photoderm-akn-mate-protector-solar-spf30-40-ml-21246.webp","BIODERMA PHOTODERM AKN MATE PROTECTOR SOLAR SPF30 40 ML","DERM-I00228","Bioderma Photoderm AKN MAT SPF 30 40 ML","0.56"
"bioderma-photoderm-max-aquafluide-spf50-40-ml-invisible-22040.webp","BIODERMA PHOTODERM MAX AQUAFLUIDE SPF50+ 40 ML INVISIBLE","DERM-I00237","Bioderma Photoderm MAX Fluido Invisible SPF 1OO 40 ML","0.56"
"bioderma-photoderm-max-aquafluide-spf50-40-ml-invisible-22040.webp","BIODERMA PHOTODERM MAX AQUAFLUIDE SPF50+ 40 ML INVISIBLE","DERM-I00230","Bioderma Photoderm Aquafluide Claire Light SPF 50+ 40 ML","0.56"
