archivo,nombre_carol,sku_dermaland,nombre_dermaland,similitud
"isdin-fusion-water-magic-spf50-50-ml-122458.webp","ISDIN FUSION WATER MAGIC SPF50 50 ML","DERM-I00695","Isdin Fusion Water Magic Glow SPF 30 50ML","0.63"
"isispharma-glyco-a-limpiador-iluminador-espuma-100-ml-129501.webp","ISISPHARMA GLYCO-A LIMPIADOR ILUMINADOR ESPUMA 100 ML","DERM-I00723","Isispharma Glyco-a Limpiador Foamer 100 ML","0.63"
"isispharma-teen-derm-hydra-compensateur-apaisant-40-ml-crem-121883.webp","ISISPHARMA TEEN DERM HYDRA COMPENSATEUR APAISANT 40 ML (CREM","DERM-I00748","Isispharma Teen Derm Hydra 40 ML","0.63"
"isispharma-uveblock-spf-50-kids-spray-enfanats-200-ml-prot-121864.webp","ISISPHARMA UVEBLOCK SPF 50+ KIDS SPRAY ENFANATS 200 ML (PROT","DERM-I00756","Isispharma Uveblock SPF 50+ Spray 200 ML","0.63"
"sesderma-sensyses-cleanser-sebum-para-pieles-grasas-200-ml-79969.webp","SESDERMA SENSYSES CLEANSER SEBUM PARA PIELES GRASAS 200 ML","DERM-I01150","Sesderma Sensyses Cleanser Sebum 200 ML","0.63"
"uriage-ds-hair-shampooing-traint-keratoreducteur-150-ml-116423.webp","URIAGE DS HAIR SHAMPOOING TRAINT KERATOREDUCTEUR 150 ML","DERM-I01271","Uriage DS Hair Shampooing Keratoreductor 150 ML","0.63"
"vichy-liftactiv-vitamin-c-serum-676-oz-138802.webp","VICHY LIFTACTIV VITAMIN C SERUM 676 OZ","DERM-I01323","Vichy Liftactiv Vitamin C Serum Correcteur 20 ML","0.63"
"isispharma-glyco-a-peeling-crema-de-noche-al-25-de-acido-gl-129500.webp","ISISPHARMA GLYCO-A PEELING CREMA DE NOCHE AL 25% DE ACIDO GL","DERM-I00722","Isispharma Glyco-a Intense Peeling Crema DE Noche 25% 30 ML","0.62"
"la-roche-posay-anthelios-mineral-tinted-spf40-medium-deep-50-154057.webp","LA ROCHE POSAY ANTHELIOS MINERAL TINTED SPF40 MEDIUM DEEP 50","DERM-I00806","LA Roche-posay Anthelios Tinted Mineral Medium Light Fluid SPF 40 50 ML","0.62"
"acm-depiwhite-active-gel-antibrown-spot-gel-40-ml-124884.webp","ACM DEPIWHITE ACTIVE GEL ANTIBROWN SPOT GEL 40 ML","DERM-I00014","ACM Depiwhite Active GEL Unifying Anti-brown Spot GEL 40ML","0.6"
